大白菜,0.45,0.48,0.50,\新,斤,2021-07-17
娃娃菜,0.60,0.70,0.80,大\冀新,斤,2021-07-17
小白菜,0.80,1.00,1.20,普通,斤,2021-07-17
芹菜,0.80,1.00,1.20,\冀,斤,2021-07-17
西芹,1.80,2.00,2.20,普通,斤,2021-07-17
菠菜,1.50,2.00,2.50,\蒙,斤,2021-07-17
莴笋,0.80,0.90,1.00,普通,斤,2021-07-17
团生菜,1.00,1.50,2.00,毛|净,斤,2021-07-17
圆白菜,0.50,0.65,0.80,\冀,斤,2021-07-17
紫甘蓝,0.60,0.70,0.80,冀,斤,2021-07-17
散叶生菜,2.00,2.50,3.00,\京冀,斤,2021-07-17
油菜,1.50,1.75,2.00,\京冀,斤,2021-07-17
香菜,5.00,6.50,8.00,\冀,斤,2021-07-17
茴香,2.00,2.25,2.50,\冀,斤,2021-07-17
韭菜,1.20,1.40,1.60,普通,斤,2021-07-17
韭菜苔,3.20,3.50,3.80,普通,斤,2021-07-17
苦菊,3.00,3.50,4.00,辽,斤,2021-07-17
油麦菜,3.00,3.50,4.00,\京,斤,2021-07-17
散菜花,1.20,1.40,1.60,豫\苏,斤,2021-07-17
绿菜花,1.50,1.65,1.80,京\ 冀,斤,2021-07-17
绿豆芽,0.95,0.98,1.00,普通,斤,2021-07-17
黄豆芽,0.85,0.88,0.90,普通,斤,2021-07-17
番茄,1.00,1.25,1.50,川鲁蒙,斤,2021-07-17
番茄（精品）,1.40,1.70,2.00,\鲁新,斤,2021-07-17
樱西,1.80,2.30,2.80,小红,斤,2021-07-17
黄瓜,1.50,1.75,2.00,蒙辽袋\鲁,斤,2021-07-17
黄瓜(鲜干花),1.80,2.15,2.50,冀,斤,2021-07-17
小黄瓜,3.00,3.75,4.50,旱\荷兰,斤,2021-07-17
茄子,0.50,0.85,1.20,冀,斤,2021-07-17
长茄,1.00,1.50,2.00,辽,斤,2021-07-17
广茄,0.60,0.80,1.00,冀/京,斤,2021-07-17
线茄,0.80,1.00,1.20,冀,斤,2021-07-17
吊冬瓜,0.40,0.45,0.50,冀,斤,2021-07-17
地冬瓜,0.25,0.28,0.30,冀,斤,2021-07-17
小毛冬瓜,0.60,0.80,1.00,冀\长,斤,2021-07-17
架豆,1.20,1.60,2.00,\冀晋新,斤,2021-07-17
豆王,1.50,2.75,4.00,晋,斤,2021-07-17
扁豆,1.30,1.90,2.50,冀,斤,2021-07-17
豇豆,1.00,1.50,2.00,鲁\京,斤,2021-07-17
白不老,1.20,1.60,2.00,滇|鲁,斤,2021-07-17
油豆,2.00,3.00,4.00,鲁,斤,2021-07-17
毛豆,2.30,2.40,2.50,普通,斤,2021-07-17
玉米,0.70,0.75,0.80,川\冀,斤,2021-07-17
花生,2.70,3.85,5.00,桂\粤,斤,2021-07-17
苦瓜,0.80,1.00,1.20,冀/鲁,斤,2021-07-17
丝瓜,1.30,1.90,2.50,豫\鲁,斤,2021-07-17
瓠子,0.60,0.80,1.00,普通,斤,2021-07-17
西葫芦,0.60,0.90,1.20,滇/鲁,斤,2021-07-17
佛手瓜,2.30,2.40,2.50,普通,斤,2021-07-17
金丝南瓜,0.50,0.55,0.60,冀鲁,斤,2021-07-17
南北瓜,0.65,0.83,1.00,桂,斤,2021-07-17
尖椒,0.80,1.15,1.50,冀晋/鲁新,斤,2021-07-17
螺丝椒,2.00,2.90,3.80,普通,斤,2021-07-17
柿子椒,0.80,1.40,2.00,\鲁新,斤,2021-07-17
线椒,1.20,1.60,2.00,\鲁琼新,斤,2021-07-17
杭椒,1.20,1.60,2.00,普通,斤,2021-07-17
小米椒,4.00,4.50,5.00,滇,斤,2021-07-17
